,F,G,average_artificial_time_cal,average_dial_interval,average_idle_time1,average_idle_time2,busy_ration1,busy_ration2,customer_num,loss_ration,time
0,0.4,0.0,27.16418899778755,27.33543244448882,48.645501864894854,39.76650942622956,0.3585753236445123,0.4332617634169141,2500.0,0.12233009708737864,2022-06-17 15:42:34.601901
1,0.4,1.0,27.10205582594594,28.96004893256185,51.44807552813854,43.14541190456854,0.34527325796383534,0.4146847702325091,2500.0,0.10368217054263566,2022-06-17 15:42:42.806709
2,0.4,2.0,27.91601909743586,32.324171598,55.049249111909695,46.977631386847236,0.33670752190342346,0.3990942349699699,2500.0,0.0896358543417367,2022-06-17 15:42:51.115417
3,0.4,3.0,27.01727188842974,33.4013512512,59.3278979720786,51.201154589668626,0.3131207320093231,0.3710413588460472,2500.0,0.09869646182495345,2022-06-17 15:42:59.728691
4,0.4,4.0,26.754305580813337,33.225284324,59.956533351774546,52.608253399799615,0.3087688931900897,0.36816209645909276,2500.0,0.07432432432432433,2022-06-17 15:43:07.971277
5,0.4,5.0,26.761475236842095,34.22818832560927,63.54066605057956,54.94334191062563,0.29657449107688605,0.35457663928254535,2500.0,0.08477842003853564,2022-06-17 15:43:16.432779
6,0.4,6.0,27.092261264503467,36.7870879588,148.48653884350392,138.66484027212178,0.15443099544124664,0.18315936434883295,2500.0,0.08130081300813008,2022-06-17 15:43:25.088427
7,0.6,0.0,27.226450090368612,20.797636420631747,34.69799417380952,25.199476392670157,0.4399652271070961,0.5375910555815627,2500.0,0.19675262655205347,2022-06-17 15:43:33.266022
8,0.6,1.0,26.243144621015364,20.58040873961661,34.69040734278958,25.596907739957704,0.43097431714432793,0.5305052441759659,2500.0,0.1871401151631478,2022-06-17 15:43:41.611210
9,0.6,2.0,26.672337362268532,22.1602653648,37.54379664542293,28.75063840904309,0.41563383573968943,0.5068669766465639,2500.0,0.1644100580270793,2022-06-17 15:43:50.586883
10,0.6,3.0,26.76141923601786,23.166793084,38.10540250839869,29.12666061010104,0.4128307014630172,0.502433403280272,2500.0,0.15660377358490565,2022-06-17 15:43:59.305365
11,0.6,4.0,27.400482397654606,25.6737451328,41.12289028495195,32.41934071248788,0.4001266033538911,0.4786361915635629,2500.0,0.1557155715571557,2022-06-17 15:44:08.074199
12,0.6,5.0,26.595455067172235,24.5534675036,40.008184303687656,31.034988358695674,0.39956937755358646,0.4887713673560383,2500.0,0.15087396504139836,2022-06-17 15:44:16.560121
13,0.6,6.0,26.777260372593403,25.2089138499002,44.80970172562361,36.55089500845668,0.37431754501588077,0.45260290164491795,2500.0,0.12660731948565776,2022-06-17 15:44:24.711564
14,0.8,0.0,27.39825771084337,15.780771804878048,25.490830587131374,15.836916668171567,0.5183667838079454,0.6446159191584608,2500.0,0.28103946102021177,2022-06-17 15:44:34.714681
15,0.8,1.0,26.757646752895784,16.870644337460064,27.679728577319562,17.641659092612986,0.49185267060396887,0.6214590989204313,2500.0,0.26628895184135976,2022-06-17 15:44:44.392549
16,0.8,2.0,26.832627501222458,17.7521405432,27.476667761321945,18.041105545164747,0.4943763954847259,0.6176210361293272,2500.0,0.23551401869158878,2022-06-17 15:44:53.762683
17,0.8,3.0,27.37920880189796,18.679325151139544,28.110362437054654,20.055656077991475,0.4937084790591772,0.5984544292358777,2500.0,0.2084507042253521,2022-06-17 15:45:02.548176
18,0.8,4.0,26.74642676637826,18.8632511832,31.623729742574238,23.137338239778988,0.45852799068545563,0.5562753706378958,2500.0,0.21379980563654033,2022-06-17 15:45:11.043372
19,0.8,5.0,27.043461084541025,20.1182128252,33.77808268077392,24.18970484138659,0.4449346468842652,0.5424156807755908,2500.0,0.2084130019120459,2022-06-17 15:45:19.460265
20,0.8,6.0,26.999683875831472,21.8255648284,33.5271846037736,24.647526921704674,0.4463517669547893,0.544197652681027,2500.0,0.18665464382326422,2022-06-17 15:45:27.958607
21,1.0,0.0,27.287281027298853,12.9339435664,19.245601674820144,10.630634400241835,0.5867572411720859,0.7283850647484876,2500.0,0.32688588007736946,2022-06-17 15:45:38.982471
22,1.0,1.0,26.877905552155745,13.730045667998402,20.954571224234016,11.234320374720385,0.5622600772508543,0.7077885310019304,2500.0,0.33240482822655526,2022-06-17 15:45:49.895498
23,1.0,2.0,26.769392142857125,14.243192532,23.653930024079337,13.53170434797689,0.5312455575581119,0.6714465773617383,2500.0,0.31756756756756754,2022-06-17 15:46:00.164525
24,1.0,3.0,26.767092358768387,15.356670587365054,24.715124930294927,15.10021861633112,0.5202632504491438,0.648745332075536,2500.0,0.28310940499040305,2022-06-17 15:46:10.029168
25,1.0,4.0,26.899053229368945,17.1465951196,25.15461347752125,15.798394037228526,0.5170594010715425,0.6436180921352441,2500.0,0.2583258325832583,2022-06-17 15:46:19.699396
26,1.0,5.0,26.812000903186306,17.918851665602553,28.2900968944785,19.2251819398496,0.4868940061973679,0.6016771839322369,2500.0,0.24022346368715083,2022-06-17 15:46:28.674520
27,1.0,6.0,26.74863067520374,18.704686309200003,27.75383905594405,18.50342874470232,0.49106943231734734,0.6081010953216276,2500.0,0.23847517730496454,2022-06-17 15:46:37.604800
28,1.2,0.0,26.568953072790272,9.8930199264,16.456655965277804,6.403703621586494,0.6179244764435214,0.8015081375532843,2500.0,0.4504761904761905,2022-06-17 15:46:48.738354
29,1.2,1.0,26.407130785381007,11.7282511952,19.26946352180687,8.806192323003582,0.5785122134377939,0.7482726118749726,2500.0,0.40846366145354185,2022-06-17 15:46:59.937337
30,1.2,2.0,26.65322788905775,12.15754596802558,19.65096949162862,10.073377796778189,0.5759829767887965,0.7330176209001037,2500.0,0.3642512077294686,2022-06-17 15:47:10.756786
31,1.2,3.0,26.784879458276333,13.74748948701558,20.34598180273973,11.486288708189159,0.5686445329075999,0.7107771372644561,2500.0,0.32189239332096475,2022-06-17 15:47:21.611216
32,1.2,4.0,27.280748878828206,14.987154542,22.652719728000026,12.807610311745355,0.5466721847454248,0.6886726791511412,2500.0,0.30591497227356745,2022-06-17 15:47:31.832361
33,1.2,5.0,26.3005244589947,14.990876960846983,23.426064823841067,13.985897216335548,0.5292324305535313,0.6627291751180503,2500.0,0.29411764705882354,2022-06-17 15:47:42.131308
34,1.2,6.0,27.406510767969756,16.533515411435427,24.81516567550503,15.99871298152172,0.525125680984024,0.6443611496538086,2500.0,0.26437847866419295,2022-06-17 15:47:51.824826
