,F,G,average_artificial_time_cal,average_idle_time1,average_idle_time2,busy_ration1,busy_ration2,customer_num,loss_ration,time
0,0.8,0.0,26.557010670473097,24.30135478921567,15.136660291086336,0.522583204614197,0.6511246431978687,2000.0,0.27283511269276395,2022-06-17 14:28:46.084487
1,0.8,1.0,27.566793835748793,27.37308576129032,17.69042429103448,0.5021658042614632,0.6237768348589134,2000.0,0.26855123674911663,2022-06-17 14:28:53.203684
2,0.8,2.0,27.938524461148678,32.02562147884938,21.28229518918916,0.46634120837877724,0.5781554826771691,2000.0,0.2762836185819071,2022-06-17 14:29:00.212175
3,0.8,3.0,27.061430829046888,30.20628448484849,20.54267688728703,0.4729199009830962,0.585602670309997,2000.0,0.24197247706422018,2022-06-17 14:29:07.110980
4,0.8,4.0,27.205578931677028,31.028436413685842,21.05371429317269,0.4675636114035311,0.5802930199838485,2000.0,0.22966507177033493,2022-06-17 14:29:13.912726
5,0.8,5.0,26.7890618008721,33.74220659388646,24.68234154463131,0.4429245456304041,0.5414891073336076,2000.0,0.2128146453089245,2022-06-17 14:29:20.600160
6,1.0,0.0,26.20847846182492,18.353429375000033,8.981069534124655,0.5885877943069705,0.7468469799184443,2000.0,0.36971830985915494,2022-06-17 14:29:29.541890
7,1.0,1.0,26.226014480836263,22.125002965095963,11.88495424195802,0.5428414924068005,0.6935692087924993,2000.0,0.3447488584474886,2022-06-17 14:29:38.147667
8,1.0,2.0,27.710450066546763,24.027691663063067,14.522252400907725,0.536038098239391,0.6660259472515181,2000.0,0.3110285006195787,2022-06-17 14:29:46.146016
9,1.0,3.0,27.147463737478404,24.128984944636684,15.132860552282775,0.5298640165202813,0.653624308174537,2000.0,0.28869778869778867,2022-06-17 14:29:54.027053
10,1.0,4.0,26.503421275459107,25.916453214046815,15.987051995815897,0.5060163714395055,0.6346380226808132,2000.0,0.2869047619047619,2022-06-17 14:30:01.701402
11,1.0,5.0,26.37233116108453,26.643059747603825,17.01230375933609,0.49784573171451957,0.6296774549608816,2000.0,0.25,2022-06-17 14:30:09.236508
12,1.2,0.0,27.208251565121387,16.532433597345157,6.900782232203406,0.6225547650444505,0.7943498363667493,2000.0,0.4372670807453416,2022-06-17 14:30:17.951732
13,1.2,1.0,26.83721355384618,16.805258572254306,7.651405236024823,0.615389098516176,0.7827118191277875,2000.0,0.38388625592417064,2022-06-17 14:30:27.078629
14,1.2,2.0,27.430839465028374,19.98512630303028,10.698088024691344,0.5789761359579902,0.7234032544947232,2000.0,0.3580097087378641,2022-06-17 14:30:35.613917
15,1.2,3.0,27.03692745072988,20.532048795246848,10.528210230882388,0.5688211465925453,0.7251464817732948,2000.0,0.3605600933488915,2022-06-17 14:30:44.346008
16,1.2,4.0,27.246656834767656,23.800140160344814,13.665595053748225,0.5341870779566299,0.673974188196078,2000.0,0.3244186046511628,2022-06-17 14:30:52.613225
17,1.2,5.0,26.87096099999999,24.332560234726696,15.190270537112015,0.525187968708695,0.6468759962931345,2000.0,0.28390804597701147,2022-06-17 14:31:00.401538
18,1.4,0.0,26.383880199999993,14.418970941037745,4.224083162303677,0.6471566456486763,0.8603088474037222,2000.0,0.4817073170731707,2022-06-17 14:31:09.103373
19,1.4,1.0,26.97002384565217,15.013411082788668,5.47268910833333,0.6428965770385371,0.829841370403819,2000.0,0.46072684642438455,2022-06-17 14:31:18.033147
20,1.4,2.0,27.154501894000017,17.21589622645289,7.634368206790114,0.6124711863300659,0.7768371366307307,2000.0,0.40617577197149646,2022-06-17 14:31:26.850571
21,1.4,3.0,26.952028393638173,19.69416166334661,9.971212178913733,0.5782823867065437,0.7337419081963874,2000.0,0.3743781094527363,2022-06-17 14:31:35.474096
22,1.4,4.0,27.216253947368433,21.07929854237287,11.771307168730646,0.5639981260215711,0.7037932911443817,2000.0,0.3480392156862745,2022-06-17 14:31:43.979106
23,1.4,5.0,27.370658785330967,22.871152005376327,12.89955891959063,0.5452225110614489,0.6855817961668027,2000.0,0.3289315726290516,2022-06-17 14:31:52.183714
24,1.6,0.0,26.67303139378237,12.714327664935078,2.9721294320298077,0.6777645594105625,0.8949342466267215,2000.0,0.5421115065243179,2022-06-17 14:32:00.560927
25,1.6,1.0,26.301172688679237,14.881193165484643,4.676069798290601,0.6391960759324404,0.843205804190196,2000.0,0.5017626321974148,2022-06-17 14:32:09.246596
26,1.6,2.0,26.688287614699338,17.41646686383928,6.176362836767029,0.6056440067194598,0.8030243537457786,2000.0,0.4862700228832952,2022-06-17 14:32:18.210897
27,1.6,3.0,26.889336917184266,16.962632892116183,7.140887207667729,0.6136757119374164,0.7887784534801751,2000.0,0.4215568862275449,2022-06-17 14:32:27.181584
28,1.6,4.0,26.286346790384613,18.585437674373797,8.668214362252664,0.5862771308917709,0.7557332301693546,2000.0,0.3875147232037691,2022-06-17 14:32:35.962979
29,1.6,5.0,27.4041189109462,20.12700696840148,10.572104794793256,0.5770043217906331,0.7303197772734848,2000.0,0.3506024096385542,2022-06-17 14:32:44.509603
30,1.8,0.0,26.7710137987013,13.307756061889249,2.2550769571734466,0.6686808398836828,0.9145953351562595,2000.0,0.6328963051251489,2022-06-17 14:32:52.249099
31,1.8,1.0,27.250337564432975,13.620816956072364,3.491155055350561,0.6673108201395492,0.8805756244379246,2000.0,0.5342136854741897,2022-06-17 14:33:00.667576
32,1.8,2.0,26.435676071759254,15.327921329466365,4.745950693708617,0.6335219161879696,0.8409815061524754,2000.0,0.500578034682081,2022-06-17 14:33:09.600990
33,1.8,3.0,27.413383616052066,15.969637182608691,6.19827699339934,0.6323969645507596,0.8120381060807637,2000.0,0.447242206235012,2022-06-17 14:33:18.471196
34,1.8,4.0,27.813654724550886,16.53044247200001,6.7688071554878135,0.6276904270032992,0.7999835565015744,2000.0,0.4174418604651163,2022-06-17 14:33:27.465871
35,1.8,5.0,28.15663273294345,19.084647431640644,9.55967704798763,0.5964872920447811,0.7449772918583842,2000.0,0.38782816229116945,2022-06-17 14:33:36.172610
